KIC,Period_days,Depth_ppm,Duration_hours,Epoch,SDE,kepid,label,koi_disposition,kepmag,teff,logg,radius,injected,actual,Confidence,Prediction,Rp_Rs_pred
6381240,127.0598634,312.8078108,9.0,255.6995867,4.595508521,6381240,0,NONE,14.289,5891,4.257,1.22,1,1,0.40800213818270537,0,0.017686373590988062
9519376,274.8742228,3550.83222,7.0,183.8665351,5.930638761,9519376,0,NONE,13.885,6047,4.264,1.195,0,0,0.40776109818751893,0,0.05958885986491099
8826303,93.53899473,206.9132871,9.0,183.8897664,3.18230712,8826303,0,NONE,13.869,6295,4.401,1.08,0,0,0.40700847129548523,0,0.014384480772693883
6107308,61.83317848,69.51770197,11.0,135.7270097,1.528742254,6107308,0,NONE,13.424,6100,4.17,1.421,0,0,0.4010532397860178,0,0.008337727626278038
12053194,82.18121913,165.8981076,10.0,147.768265,2.554213491,12053194,0,NONE,13.204,5903,4.546,0.864,0,0,0.4005760470591067,0,0.012880143927767268
8171971,72.46341049,99.41338386,12.0,186.8305009,2.356518986,8171971,0,NONE,13.593,5865,4.518,0.918,0,0,0.3967299150010563,0,0.009970626051557645
10006971,285.7558905,965.6811197,8.5,383.2934909,6.581437533,10006971,0,NONE,13.22,5823,4.042,1.586,0,0,0.3955649464374154,0,0.031075410209681867
8607778,263.3967115,299.3605874,10.5,209.3773442,6.002019747,8607778,0,NONE,14.103,5970,4.521,0.908,0,0,0.38960143461719465,0,0.017302039977991034
5033073,84.71006756,286.0997083,7.5,170.9392114,2.56520018,5033073,0,NONE,13.681,6106,4.46,1.005,0,0,0.38353413809841186,0,0.016914482206086
11803247,61.63051193,444.0791035,6.5,168.2935881,3.460041352,11803247,0,NONE,14.084,5925,4.476,0.865,0,0,0.379483253299853,0,0.02107318446509687
6374248,231.7766927,554.1763264,9.0,259.7614217,5.447665895,6374248,0,NONE,13.868,6091,4.227,1.334,0,0,0.37883020208640145,0,0.02354094998932711
4545738,92.76698834,215.7193636,6.0,166.4503859,5.159886035,4545738,0,NONE,13.907,5534,4.548,0.839,1,1,0.37382807081035063,0,0.014687387909359513
8041825,75.9008154,191.4005541,8.0,204.1995073,2.562427719,8041825,0,NONE,14.147,5981,4.452,1.022,0,0,0.3733830106739723,0,0.013834758910078628
7213876,92.19605339,311.3577666,6.5,169.3141729,4.7202289,7213876,0,NONE,10.976,5780,4.438,1.0,1,1,0.37130549932018303,0,0.017645332714346873
9076990,96.67277844,261.4167,6.0,183.8459054,2.400911849,9076990,0,NONE,14.296,5571,4.549,0.779,0,0,0.36819734875049226,0,0.01616838581924615
6842313,232.4039229,712.1516711,5.5,165.4607748,7.749604437,6842313,0,NONE,14.12,5662,4.367,1.03,0,0,0.3675202171047943,0,0.026686170034308034
4845295,278.5271995,896.7358109,5.5,260.0018994,7.567250531,4845295,0,NONE,14.122,5984,4.521,0.906,0,0,0.3516697409884206,0,0.02994554743029421
11908749,92.75708311,585.7706632,5.5,166.5017442,4.074019704,11908749,0,NONE,13.66,5632,4.616,0.721,0,0,0.35145257314715483,0,0.024202699502328246
3847642,71.83418026,174.8061747,7.0,188.5126248,3.388666269,3847642,0,NONE,13.532,5681,4.496,0.851,0,0,0.3470689302698784,0,0.013221428617967122
4543158,139.0737357,145.8039514,7.0,153.497979,1.867681501,4543158,0,NONE,12.213,6008,4.266,1.17,0,0,0.34697893317914924,0,0.012074930699594097
6305665,62.47206195,252.5202365,8.5,164.7932926,1.102550818,6305665,0,NONE,13.747,6029,4.131,1.411,0,0,0.3452252947516405,0,0.015890885327759435
11766750,92.50026533,386.3795009,6.0,138.7618688,2.920964422,11766750,0,NONE,14.211,5432,4.42,0.913,0,0,0.34395810830710044,0,0.01965653837530912
9535182,92.09071834,328.1806011,5.5,169.8348905,6.247639398,9535182,0,NONE,13.96,5609,4.599,0.755,0,0,0.34131279817518595,0,0.018115755603893533
11017397,135.6310883,184.78627,8.5,223.4455169,3.962576662,11017397,0,NONE,13.485,6067,4.322,1.12,0,0,0.34068904924489973,0,0.013593611367109184
5698009,58.80268353,323.5391563,7.0,183.8251213,1.536823886,5698009,0,NONE,14.429,5895,4.329,1.146,0,0,0.33899800057517854,0,0.017987194230896602
2574376,89.5316074,221.471936,7.5,204.2371844,0.938662789,2574376,0,NONE,12.956,5600,4.55,0.723,0,0,0.33085134923387416,0,0.014881933207752277
8481242,92.75243934,240.1554741,6.0,166.5126835,7.260033161,8481242,0,NONE,14.372,5841,4.52,0.931,0,0,0.33015032963202956,0,0.015496950477432648
10745115,61.84060465,199.1688779,5.0,134.4135346,1.515126835,10745115,0,NONE,12.36,6160,4.341,1.103,0,0,0.3293874717008891,0,0.01411272042874796
5559280,93.28997337,378.4162912,8.5,166.2157339,6.462019698,5559280,0,NONE,12.509,4999,4.514,0.801,0,0,0.32782249990534457,0,0.01945292500371088
4939472,60.28179784,281.5809783,9.0,139.8455483,2.034670466,4939472,0,NONE,14.477,5278,4.593,0.775,0,0,0.32559074070826505,0,0.016780374796171865
8115701,87.86585151,694.2383281,8.0,384.0436121,1.422233149,8115701,0,NONE,14.329,6106,4.408,1.11,0,0,0.32473029407821985,0,0.026348402761837385
10322913,78.51437428,139.6080255,13.0,162.4917494,3.163899693,10322913,0,NONE,14.332,5700,4.325,1.04,0,0,0.324593750442792,0,0.011815584010111391
3953177,82.79576377,238.2995743,9.5,194.5021676,2.579175234,3953177,0,NONE,14.434,5973,4.562,0.826,0,0,0.3231834795863902,0,0.015436954826001143
2716664,71.83729859,293.3257445,8.0,188.5334017,2.404845728,2716664,0,NONE,13.891,6284,4.194,1.448,0,0,0.32242174329240525,0,0.017126755223917926
1849415,92.17432824,248.8122831,12.5,168.2792574,7.331023449,1849415,0,NONE,12.637,6198,4.039,1.624,0,0,0.3219147624567835,0,0.015773784679017272
11495513,86.84520008,104.6896595,14.5,184.6954696,1.652059178,11495513,0,NONE,12.861,6192,4.232,1.2,0,0,0.31901168420772313,0,0.010231796494262384
2991562,74.52296626,256.3106077,10.0,169.5750828,2.884597185,2991562,0,NONE,12.273,5843,4.121,1.449,0,0,0.31805770266988026,0,0.016009703548161034
3557114,288.8757091,1130.761445,8.0,260.3873748,10.15928497,3557114,0,NONE,14.001,5762,4.423,0.874,0,0,0.3147303681841686,0,0.033626796531932686
9703633,93.53899473,476.6289724,7.5,183.8769143,1.779060046,9703633,0,NONE,14.491,6194,4.457,1.02,0,0,0.31402422885266357,0,0.02183183392205062
5938255,91.01582834,476.896365,10.0,189.4504927,3.969686874,5938255,0,NONE,14.374,6025,4.42,1.019,0,0,0.3128275190482848,0,0.021837956978618674
5396984,113.578148,373.2907801,7.0,163.3452481,3.167700744,5396984,0,NONE,14.238,5708,4.389,0.962,0,0,0.31256057727809566,0,0.019320734460677214
10385248,82.22427577,258.9034852,8.5,210.7314266,3.373139996,10385248,0,NONE,13.957,5130,4.645,0.619,0,0,0.3117512887254837,0,0.016090478091094745
5894197,254.1332187,489.9140818,10.0,255.6787797,11.1699231,5894197,0,NONE,12.787,5528,4.487,0.825,0,0,0.30938660232616555,0,0.02213400284178169
8315266,91.8228827,136.0858731,6.0,171.1785983,2.99053522,8315266,0,NONE,13.829,6031,4.085,1.43,0,0,0.30773100737755027,0,0.01166558498747491
8523328,84.70950373,274.3560234,11.5,171.0221152,1.878335039,8523328,0,NONE,13.588,5609,4.379,1.01,0,0,0.3045724445533969,0,0.016563695946255477
4176763,223.9918966,685.1249364,6.0,182.3039184,7.177718282,4176763,0,NONE,14.319,5318,4.642,0.676,0,0,0.3042699668498146,0,0.026174891335017995
2445665,118.7863875,218.8021582,8.5,141.5912922,4.452471441,2445665,0,NONE,12.792,5396,4.607,0.717,0,0,0.30171714487001017,0,0.014791962621640172
11658776,127.9993378,544.8655155,6.5,246.2725216,4.590629215,11658776,0,NONE,13.872,5883,4.292,1.125,0,0,0.30078691590778617,0,0.023342354540619933
8751783,80.30182183,1487.600561,13.0,201.1581209,3.929474076,8751783,0,NONE,13.375,5933,4.157,1.337,0,0,0.299869181760098,0,0.03856942520961389
6208985,77.17220041,445.2790819,8.0,183.8665194,1.734855199,6208985,0,NONE,14.266,5098,4.509,0.803,0,0,0.29610090109511983,0,0.021101636948350714
4383803,180.9060562,1105.711289,9.0,259.9763458,11.24574408,4383803,0,NONE,11.95,5770,4.472,0.855,0,0,0.29598606342602035,0,0.033252237353297
3854725,108.4853622,342.3077145,8.5,196.3979056,1.346944228,3854725,0,NONE,14.309,6289,4.407,1.118,0,0,0.2950129868553753,0,0.018501559785596457
2441876,267.9776899,433.9352206,8.5,260.3830225,10.64073277,2441876,0,NONE,12.798,6127,4.337,1.07,0,0,0.2940875946336672,0,0.020831111842626163
8265428,79.73557197,330.4646092,9.0,170.8091557,2.567937065,8265428,0,NONE,12.761,6297,4.341,1.12,0,0,0.2926427304053984,0,0.018178685574045225
4831185,62.38852757,377.2608488,13.0,162.2267635,2.665508726,4831185,0,NONE,10.251,5906,4.173,1.275,0,0,0.292415912151958,0,0.019423203875777034
5096839,246.3451168,625.66168,8.5,230.1271347,11.47405132,5096839,0,NONE,14.107,6131,4.497,0.945,0,0,0.2917068125858661,0,0.025013230099289456
6853029,68.5960502,329.0611094,9.0,183.9084153,1.944697784,6853029,0,NONE,13.562,6258,4.449,1.031,0,0,0.29111353847008353,0,0.018140041604141927
7708458,84.70950373,307.7981232,8.5,170.9655823,3.001269426,7708458,0,NONE,12.943,5891,4.424,0.976,0,0,0.28975286051572663,0,0.01754417633290318
7352971,68.5960502,395.4841312,9.5,183.9187994,1.814521959,7352971,0,NONE,14.235,6099,4.444,0.954,0,0,0.28665686756080017,0,0.01988678282679227
10252901,135.7382969,271.6268149,15.0,265.8669031,6.407680545,10252901,0,NONE,13.764,5691,4.515,0.923,0,0,0.2848434532991618,0,0.016481104783963967
9003423,60.66939617,244.1240613,6.0,189.4502262,1.767178568,9003423,0,NONE,14.463,6215,4.413,1.03,0,0,0.2844675890620731,0,0.015624469952609592
8360304,140.2947506,1019.526443,10.0,184.0182855,3.224649117,8360304,0,NONE,13.228,5543,4.568,0.813,0,0,0.2834812833921357,0,0.03193002416222074
9957525,77.77471553,1357.920123,8.5,165.7724093,3.225120619,9957525,0,NONE,14.148,5771,4.562,0.825,0,0,0.28009298662575205,0,0.036849967747611394
11359056,61.17081696,209.0134245,9.5,180.569795,0.876801617,11359056,0,NONE,12.351,6137,4.2,1.307,0,0,0.2792557056205481,0,0.014457296583386537
6047482,75.9008154,178.084681,7.5,204.189426,0.812880045,6047482,0,NONE,13.905,5750,4.538,0.882,0,0,0.278978061850941,0,0.013344837241420368
8572665,285.2585609,777.3932728,7.0,164.9911195,6.084793215,8572665,0,NONE,14.354,6217,4.434,1.041,0,0,0.2777348959805476,0,0.027881773128694665
12215240,93.5702097,379.3101129,9.0,162.4909126,1.633008879,12215240,0,NONE,14.158,5102,4.553,0.733,0,0,0.27692052879792883,0,0.019475885420180517
11196226,240.769283,1086.062936,5.0,282.3303039,5.148916324,11196226,0,NONE,12.581,6290,4.269,1.231,0,0,0.275732294315775,0,0.03295546898467688
7763491,93.54898346,306.8530123,5.0,161.4554334,1.484808533,7763491,0,NONE,13.169,6068,4.327,1.071,0,0,0.2750293969471748,0,0.017517220450174165
10002867,138.4990982,1182.108315,7.5,183.8769449,2.28585392,10002867,0,NONE,14.28,6160,4.378,1.048,0,0,0.2739040071965667,0,0.034381802090640914
6188427,61.65218631,109.6196006,5.0,198.661573,0.407903727,6188427,0,NONE,13.862,5885,4.058,1.566,0,0,0.27349376302485207,0,0.01046993794632996
7204360,123.4783154,436.1180937,6.5,183.7935429,4.544408893,7204360,0,NONE,14.465,6137,4.46,1.018,0,0,0.27309146117162975,0,0.020883440657611954
6422390,92.7933001,150.5008252,6.0,166.310487,3.983262108,6422390,0,NONE,12.299,5960,4.1,1.459,0,0,0.272178078453962,0,0.012267877778980358
6141529,142.7257023,241.8268971,9.0,241.7887393,4.921505481,6141529,0,NONE,13.191,5571,4.39,0.94,0,0,0.27069657109435724,0,0.015550784452882112
11453791,89.71909719,181.873251,9.0,180.5328809,4.731089806,11453791,0,NONE,13.687,5985,4.462,0.961,0,0,0.26637416860580876,0,0.013486039114580678
6187121,92.39662409,178.8553736,10.5,167.8833025,5.403652783,6187121,0,NONE,13.48,6299,4.251,1.21,0,0,0.2631748060377304,0,0.01337368212572738
10190481,247.0026923,688.6825948,7.0,291.2626059,4.967782115,10190481,0,NONE,14.19,5955,4.534,0.883,0,0,0.26280831090869883,0,0.02624276271279379
12457730,87.48849387,312.6300926,9.0,213.9911945,3.058733254,12457730,0,NONE,14.227,6180,4.453,1.006,0,0,0.26186807800652123,0,0.017681348721180747
5364578,137.1943426,1005.115372,7.5,183.8770314,2.452961723,5364578,0,NONE,14.331,6119,4.497,0.938,0,0,0.26182112901294363,0,0.031703554564117886
3859406,92.38368525,645.3662749,6.5,169.8769941,5.045025545,3859406,0,NONE,14.075,6086,4.354,1.187,0,0,0.25924423983008377,0,0.025404060205014473
7904473,205.7830306,464.8146225,7.0,183.8870129,5.907780843,7904473,0,NONE,13.94,5716,4.309,1.054,0,0,0.2588426411682019,0,0.021559559886509743
11953957,92.76637066,159.7981342,6.5,166.4453823,5.082130866,11953957,0,NONE,11.978,5598,4.552,0.849,0,0,0.25860743231462174,0,0.012641128675873843
7116234,68.5960502,434.9560578,7.0,183.8665835,1.805098626,7116234,0,NONE,14.388,5679,4.584,0.778,0,0,0.2581440973792458,0,0.02085560015439498
8540081,78.70215622,334.9750462,9.5,134.3625421,4.946193218,8540081,0,NONE,13.574,5676,4.382,1.012,0,0,0.25147912974711434,0,0.018302323519160075
11139692,92.7933001,380.8586884,9.5,166.2515529,6.031678429,11139692,0,NONE,14.032,4979,4.568,0.715,0,0,0.24687395635973608,0,0.0195156011539486
3735720,68.51096494,1022.039197,11.5,183.8832272,1.420341555,3735720,0,NONE,13.334,4858,4.564,0.726,0,0,0.24124735168350916,0,0.031969347772514846
11760235,78.70662022,626.6662406,7.0,134.2412546,0.742614441,11760235,0,NONE,14.206,5911,4.519,0.914,0,0,0.23470545494579542,0,0.025033302630695774
9705496,140.3097323,804.8649774,8.5,183.8768602,4.564002471,9705496,0,NONE,14.263,5003,4.534,0.827,0,0,0.23236577839710057,0,0.02837014235776761
7256715,287.4843637,808.0856556,6.5,188.9192424,10.34793275,7256715,0,NONE,14.422,6089,4.464,0.961,0,0,0.23215571011860972,0,0.02842684744392174
9052348,84.70950373,1153.341942,8.0,170.9491532,3.05290634,9052348,0,NONE,14.347,5010,4.545,0.75,0,0,0.22691051994439768,0,0.03396088841594106
7610110,77.17220041,346.1288645,7.0,183.8664639,1.703633947,7610110,0,NONE,14.104,5585,4.338,1.05,0,0,0.22566302404574737,0,0.01860453881449363
5944707,92.58547838,244.0567307,14.0,167.4919634,5.206046121,5944707,0,NONE,14.317,5170,4.623,0.704,0,0,0.22338086441508945,0,0.015622315151730872
6949198,77.17220041,280.9596437,9.5,183.8977975,1.758006792,6949198,0,NONE,13.974,5959,4.549,0.856,0,0,0.22117180147607268,0,0.016761850843507706
12067363,96.67761825,616.1331942,7.0,183.8451295,1.279461619,12067363,0,NONE,14.459,6103,4.496,0.949,0,0,0.22025707249823712,0,0.024822030420575996
8360415,88.72722891,1201.03567,9.0,183.9498935,3.489277195,8360415,0,NONE,14.027,5134,4.56,0.721,0,0,0.2157839519642015,0,0.034655961536220574
10924064,240.7596697,1354.052517,7.0,282.3869465,5.67958127,10924064,0,NONE,13.705,5055,4.591,0.785,0,0,0.21009379892129978,0,0.036797452588460525
8888956,93.53837214,296.9985907,7.0,183.8513757,1.48900723,8888956,0,NONE,13.29,6038,4.089,1.652,0,0,0.20327514274347544,0,0.017233647051625493
8263104,127.0662245,854.7165032,9.5,255.7304473,5.015163166,8263104,0,NONE,14.291,5750,4.431,0.906,0,0,0.20189751601600062,0,0.0292355349395218
8648352,84.72024104,925.8114485,6.5,170.7545842,1.496470368,8648352,0,NONE,13.93,5684,4.027,1.604,0,0,0.1990941194602817,0,0.03042714985830911
6372346,231.7310895,1042.60492,7.5,259.9601728,5.661185741,6372346,0,NONE,14.427,5525,4.478,0.82,0,0,0.19729530385828095,0,0.0322893933049229
7044893,96.12056495,917.2326192,7.0,183.866307,0.85082815,7044893,0,NONE,14.226,5945,4.562,0.797,0,0,0.10376178024189606,0,0.030285848497276745
